file,bs,mbs,RPD,RPDS
100_20_01,1792110.0,2379158,32.757364224294264,35.10370457170598
100_20_02,1810660.0,2336135,29.02118564501342,34.24314890702838
100_20_03,1679880.0,2259734,34.51758458937543,39.072183727409104
100_20_04,1943480.0,2522639,29.80010085002161,32.43465330232367
100_20_05,1539090.0,2044110,32.81289593201177,35.3701732842134
100_20_06,1660530.0,2123603,27.88706015549252,34.92548764551077
100_20_07,1783580.0,2421484,35.765370771145676,37.79511992733715
100_20_08,1754470.0,2311350,31.74063962336205,35.52459717179547
100_20_09,1852180.0,2357317,27.272565301428585,30.035504108671944
100_20_10,1660070.0,2101395,26.58472233098605,30.261735950893637
100_20_11,1816300.0,2289023,26.026702637229533,30.046148763970713
100_20_12,1711620.0,2219005,29.64355405989647,33.46028908285717
100_20_13,1712830.0,2136805,24.75289433277091,28.244682776457676
100_20_14,1709350.0,2108376,23.34372714774622,25.998221546201773
100_20_15,1449140.0,1890729,30.47248713029797,34.065004071380265
100_20_16,1847320.0,2273530,23.071801312171143,26.14650412489444
100_20_17,1777650.0,2222092,25.001659494276147,28.812837172671788
100_20_18,1824010.0,2268325,24.35924145152713,29.087976491356955
100_20_19,1675710.0,2183382,30.29593426070145,32.546848798419774
100_20_20,1801770.0,2224423,23.457655527620073,27.66375286523807
100_20_21,1709120.0,2146094,25.56719247331961,29.162387661486616
100_20_22,1740800.0,2119931,21.77912454044117,24.735627297794117
100_20_23,1776600.0,2237645,25.950973770122705,30.34657210401891
100_20_24,1692610.0,2127673,25.703676570503546,28.976763696303344
100_20_25,1713800.0,2193054,27.964406581864857,30.151989730423622
100_20_26,1565920.0,2001475,27.814639317461936,30.706587820578317
100_20_27,1862160.0,2297628,23.38510117283155,28.791253168363617
100_20_28,1732590.0,2201649,27.072706179765554,28.978419591478655
100_20_29,1992230.0,2436936,22.32202105178619,24.27936533432385
100_20_30,1770450.0,2177936,23.015956395266727,27.04938292524499
