"file","bs","mbs","RPD","RPDS"
"100_20_01",1792110,2379158,32.7573642242943,35.103704571706
"100_20_02",1810660,2336135,29.0211856450134,34.2431489070284
"100_20_03",1679880,2259734,34.5175845893754,39.0721837274091
"100_20_04",1943480,2522639,29.8001008500216,32.4346533023237
"100_20_05",1539090,2044110,32.8128959320118,35.3701732842134
"100_20_06",1660530,2123603,27.8870601554925,34.9254876455108
"100_20_07",1783580,2421484,35.7653707711457,37.7951199273371
"100_20_08",1754470,2311350,31.740639623362,35.5245971717955
"100_20_09",1852180,2357317,27.2725653014286,30.0355041086719
"100_20_10",1660070,2101395,26.5847223309861,30.2617359508936
"100_20_11",1816300,2289023,26.0267026372295,30.0461487639707
"100_20_12",1711620,2219005,29.6435540598965,33.4602890828572
"100_20_13",1712830,2136805,24.7528943327709,28.2446827764577
"100_20_14",1709350,2108376,23.3437271477462,25.9982215462018
"100_20_15",1449140,1890729,30.472487130298,34.0650040713803
"100_20_16",1847320,2273530,23.0718013121711,26.1465041248944
"100_20_17",1777650,2222092,25.0016594942761,28.8128371726718
"100_20_18",1824010,2268325,24.3592414515271,29.087976491357
"100_20_19",1675710,2183382,30.2959342607015,32.5468487984198
"100_20_20",1801770,2224423,23.4576555276201,27.6637528652381
"100_20_21",1709120,2146094,25.5671924733196,29.1623876614866
"100_20_22",1740800,2119931,21.7791245404412,24.7356272977941
"100_20_23",1776600,2237645,25.9509737701227,30.3465721040189
"100_20_24",1692610,2127673,25.7036765705035,28.9767636963033
"100_20_25",1713800,2193054,27.9644065818649,30.1519897304236
"100_20_26",1565920,2001475,27.8146393174619,30.7065878205783
"100_20_27",1862160,2297628,23.3851011728316,28.7912531683636
"100_20_28",1732590,2201649,27.0727061797656,28.9784195914787
"100_20_29",1992230,2436936,22.3220210517862,24.2793653343238
"100_20_30",1770450,2177936,23.0159563952667,27.049382925245
"50_20_01",595260,650886,9.34482411047273,10.3386755367402
"50_20_02",622342,694048,11.5219605940142,13.5649851689264
"50_20_03",592745,658576,11.106124893504,13.4045500172924
"50_20_04",666621,734810,10.2290506899723,12.4996362250814
"50_20_05",653748,719821,10.1067995619107,13.6961336784204
"50_20_06",643294,714638,11.0904189997109,12.4201686942518
"50_20_07",565375,643560,13.8288746407252,14.7767764757904
"50_20_08",532097,583767,9.71063546684157,12.2935103937816
"50_20_09",572797,644584,12.5327122872501,14.246059249612
"50_20_10",600785,658213,9.55882720107859,12.2846276122074
"50_20_11",604272,660439,9.29498636375672,10.6379908385628
"50_20_12",584199,659507,12.8908128908129,15.1008132502794
"50_20_13",551945,613784,11.2038337153158,12.9929612551975
"50_20_14",572954,644414,12.4722054475577,14.4382271526161
"50_20_15",595368,656590,10.2830518267693,12.8240012899585
"50_20_16",551243,602888,9.36882645221799,12.3292631380353
"50_20_17",647036,734749,13.5561236159966,14.5829289251294
"50_20_18",630186,680690,8.01414185653125,10.7138527355416
"50_20_19",465508,512813,10.1620165496619,13.4712615035617
"50_20_20",565240,636332,12.5773122921237,15.5061212936098
"50_20_21",617905,692012,11.9932675734943,12.8304189155291
"50_20_22",642666,700283,8.96531012998976,11.5308107166086
"50_20_23",602536,661466,9.78032847829839,12.1024137976818
"50_20_24",552363,598784,8.40407485657077,12.3162847620134
"50_20_25",587942,646142,9.89893560929479,11.9135901160319
"50_20_26",600296,676209,12.645928008849,15.2213907805483
"50_20_27",563816,621215,10.1804489407892,12.2272159711679
"50_20_28",549809,612603,11.421057130749,12.8733432883056
"50_20_29",545184,606717,11.286648177496,14.0996067382755
"50_20_30",509210,559352,9.84701792973429,13.4337110425954
