file,bs,mbs,RPD,RPDS
100_20_01,1792110.0,2473347,38.01312419438539,44.27772848764864
100_20_02,1810660.0,2480342,36.98551909248561,41.640760827543545
100_20_03,1679880.0,2421434,44.14327213848608,48.49110650760768
100_20_04,1943480.0,2716923,39.796807788091456,43.069267499536906
100_20_05,1539090.0,2187598,42.135807522627005,44.72124437167417
100_20_06,1660530.0,2352537,41.67386316417048,44.46284017753368
100_20_07,1783580.0,2497501,40.02741676852175,44.42248735688895
100_20_08,1754470.0,2469165,40.735663761705815,46.59415094016997
100_20_09,1852180.0,2523829,36.26262026368928,37.08490535477114
100_20_10,1660070.0,2327085,40.17993217153494,42.598227785575304
100_20_11,1816300.0,2451841,34.99097065462754,42.12321753014369
100_20_12,1711620.0,2392143,39.75900024538157,47.23235297554364
100_20_13,1712830.0,2374224,38.614106478751545,43.34931078974562
100_20_14,1709350.0,2349041,37.42305554743031,40.64036037090122
100_20_15,1449140.0,2035014,40.42908207626592,46.276149992409294
100_20_16,1847320.0,2513900,36.083623844271706,39.595630426780424
100_20_17,1777650.0,2426311,36.48980395465925,40.10585885860546
100_20_18,1824010.0,2526050,38.488824074429424,40.85011595331166
100_20_19,1675710.0,2407758,43.685840628748416,46.671309474789794
100_20_20,1801770.0,2438414,35.33436565155375,39.29926683205959
100_20_21,1709120.0,2313589,35.36726502527617,38.628604193971164
100_20_22,1740800.0,2270843,30.448242187500004,36.508685661764716
100_20_23,1776600.0,2439772,37.32815490262299,41.13501069458516
100_20_24,1692610.0,2346596,38.63772517000372,45.02061313592617
100_20_25,1713800.0,2338149,36.43068035943517,41.509557708017276
100_20_26,1565920.0,2163668,38.17232042505364,45.46164555021967
100_20_27,1862160.0,2498137,34.152650685225765,41.267033982042356
100_20_28,1732590.0,2317944,33.78491160632348,39.51736994903584
100_20_29,1992230.0,2666506,33.84528894756127,36.96731803054868
100_20_30,1770450.0,2437878,37.698212318901966,40.23134231410093
