"file","bs","mbs","RPD","RPDS"
"100_20_01",1792110,2473347,38.0131241943854,44.2777284876486
"100_20_02",1810660,2480342,36.9855190924856,41.6407608275435
"100_20_03",1679880,2421434,44.1432721384861,48.4911065076077
"100_20_04",1943480,2716923,39.7968077880915,43.0692674995369
"100_20_05",1539090,2187598,42.135807522627,44.7212443716742
"100_20_06",1660530,2352537,41.6738631641705,44.4628401775337
"100_20_07",1783580,2497501,40.0274167685218,44.422487356889
"100_20_08",1754470,2469165,40.7356637617058,46.59415094017
"100_20_09",1852180,2523829,36.2626202636893,37.0849053547711
"100_20_10",1660070,2327085,40.1799321715349,42.5982277855753
"100_20_11",1816300,2451841,34.9909706546275,42.1232175301437
"100_20_12",1711620,2392143,39.7590002453816,47.2323529755436
"100_20_13",1712830,2374224,38.6141064787515,43.3493107897456
"100_20_14",1709350,2349041,37.4230555474303,40.6403603709012
"100_20_15",1449140,2035014,40.4290820762659,46.2761499924093
"100_20_16",1847320,2513900,36.0836238442717,39.5956304267804
"100_20_17",1777650,2426311,36.4898039546593,40.1058588586055
"100_20_18",1824010,2526050,38.4888240744294,40.8501159533117
"100_20_19",1675710,2407758,43.6858406287484,46.6713094747898
"100_20_20",1801770,2438414,35.3343656515538,39.2992668320596
"100_20_21",1709120,2313589,35.3672650252762,38.6286041939712
"100_20_22",1740800,2270843,30.4482421875,36.5086856617647
"100_20_23",1776600,2439772,37.328154902623,41.1350106945852
"100_20_24",1692610,2346596,38.6377251700037,45.0206131359262
"100_20_25",1713800,2338149,36.4306803594352,41.5095577080173
"100_20_26",1565920,2163668,38.1723204250536,45.4616455502197
"100_20_27",1862160,2498137,34.1526506852258,41.2670339820424
"100_20_28",1732590,2317944,33.7849116063235,39.5173699490358
"100_20_29",1992230,2666506,33.8452889475613,36.9673180305487
"100_20_30",1770450,2437878,37.698212318902,40.2313423141009
"50_20_01",595260,637258,7.05540436111951,14.3655545475926
"50_20_02",622342,730002,17.2991699097924,21.7197296663249
"50_20_03",592745,673052,13.5483217909894,19.5636572219082
"50_20_04",666621,768488,15.2810967551277,20.0469232142402
"50_20_05",653748,773452,18.3104193052981,21.9502315877066
"50_20_06",643294,739144,14.8998747073655,18.417177837816
"50_20_07",565375,670735,18.6354189697104,22.0202874198541
"50_20_08",532097,627081,17.8508805725272,20.1997004305606
"50_20_09",572797,683383,19.3063161992818,23.12829850715
"50_20_10",600785,693879,15.4953935268024,21.4417137578335
"50_20_11",604272,679822,12.5026478142294,16.2400375989621
"50_20_12",584199,699067,19.6624780254674,22.4864814900402
"50_20_13",551945,634257,14.9130801076194,20.5216099430197
"50_20_14",572954,674210,17.6726229330801,22.7558582364378
"50_20_15",595368,683413,14.7883325942946,18.516715711963
"50_20_16",551243,648566,17.6551901792857,19.0416567648025
"50_20_17",647036,766376,18.4441051193442,20.7343640848423
"50_20_18",630186,719571,14.18390760823,17.2184402700155
"50_20_19",465508,547233,17.5560892616239,22.1973413990737
"50_20_20",565240,664854,17.6233104521973,20.5951100417522
"50_20_21",617905,716849,16.0128175043089,17.9439881535187
"50_20_22",642666,730783,13.7111656754831,16.6845608761005
"50_20_23",602536,694160,15.2063943067302,18.4593119747202
"50_20_24",552363,642991,16.4073263415544,21.8374873045443
"50_20_25",587942,690891,17.5100605161734,19.5345799415589
"50_20_26",600296,712249,18.6496328477951,19.3732425336834
"50_20_27",563816,656882,16.5064489124111,20.980887381699
"50_20_28",549809,646825,17.645400493626,20.9611337755475
"50_20_29",545184,635406,16.5489082584962,20.8717423842226
"50_20_30",509210,600087,17.8466644409968,20.7277547573693
